#Frame            All     All[Max]
     448      19.9959      27.3588
     449      20.0017      27.9989
     450      20.0273      28.0798
     451      19.8970      27.7249
     452      20.0162      28.0212
     453      20.3057      28.8091
     454      20.2760      28.8622
     455      20.2977      28.6999
     456      20.2746      28.6280
     457      20.2181      28.4397
     458      20.2911      28.4662
     459      20.2700      28.8865
     460      20.1464      28.4092
     461      20.2049      28.9726
     462      20.2668      28.2667
     463      20.2466      28.2865
     464      20.1514      28.0024
     465      20.1976      28.3844
     466      20.4041      28.7535
     467      20.4304      28.6682
     468      20.2937      28.0992
     469      20.2164      28.1429
     470      20.2083      28.0904
     471      20.2510      40.4989
     472      20.1238      28.1326
     473      20.1259      27.4958
     474      20.0554      27.9166
     475      20.0962      40.0294
     476      20.1007      40.2269
     477      20.2603      28.6605
     478      20.3205      28.8814
     479      20.4910      29.0226
     480      20.3633      28.4107
     481      20.3508      28.4447
     482      20.3546      41.5928
     483      20.3780      40.4265
     484      20.4327      40.7407
     485      20.3652      40.6379
     486      20.3272      28.1457
     487      20.5031      40.5332
     488      20.5417      40.9513
     489      20.5015      28.9941
     490      20.6448      29.1841
     491      20.6927      29.1692
     492      20.5510      28.8419
     493      20.6122      41.0238
     494      20.6852      41.2335
     495      20.4976      40.8195
     496      20.5864      41.5183
     497      20.6040      41.2522
     498      20.6287      28.9550
     499      20.6948      29.6806
     500      20.6584      29.4499
     501      20.6253      29.1222
     502      20.7267      29.4766
     503      20.8285      29.6487
     504      20.6047      29.0863
     505      20.7198      29.5709
     506      20.8640      42.8417
     507      20.8322      30.1464
     508      20.9133      30.1592
     509      20.9718      29.9324
     510      20.9382      30.0948
     511      20.8597      41.9554
     512      20.8920      42.7522
     513      20.9367      29.7152
     514      20.9430      29.9816
     515      20.9273      29.8787
     516      20.8597      29.8099
     517      20.8227      29.5777
     518      21.0160      42.6144
     519      21.0023      30.0352
     520      21.0217      29.9527
     521      21.0135      29.6329
     522      21.0880      29.6974
     523      21.0470      29.6546
     524      21.0958      29.4885
     525      21.1558      29.8849
     526      21.1525      29.4847
     527      21.1245      29.7824
     528      21.1703      29.9103
     529      20.9813      29.0879
     530      21.0559      29.0267
     531      21.0100      28.8807
     532      21.0948      41.2072
     533      21.1399      29.0900
     534      21.0914      29.0157
     535      21.1079      29.1609
     536      21.0232      29.3077
     537      20.9581      28.9076
     538      21.1537      29.6078
     539      21.2122      29.3998
     540      21.0902      29.4756
     541      21.2366      29.8767
     542      21.0326      29.4373
     543      21.1558      29.4151
     544      21.0237      29.2869
     545      21.0352      29.0621
     546      21.3183      29.5720
     547      21.4261      29.8095
     548      21.3568      29.1288
     549      21.4228      29.1684
     550      21.6524      30.0849
     551      21.5633      29.6821
     552      21.5515      29.8057
     553      21.4800      29.5258
     554      21.3872      29.3937
     555      21.4768      41.9683
     556      21.4640      41.6457
     557      21.6297      41.7325
     558      21.5573      41.1773
     559      21.5247      28.9328
     560      21.5152      41.9325
     561      21.4491      28.7637
     562      21.4150      29.0114
     563      21.5010      29.3803
     564      21.4572      29.4525
     565      21.4086      29.3693
     566      21.2067      29.1758
     567      21.1599      29.0495
     568      21.0753      28.3345
     569      20.9619      40.3415
     570      20.8703      40.1399
     571      21.0604      28.4496
     572      21.1335      40.3495
     573      20.8866      41.0820
