#Frame            All     All[Max]
     815      22.4090      42.5874
     816      22.4108      42.3695
     817      22.3927      42.7705
     818      22.3847      42.8155
     819      22.4804      42.1846
     820      22.5067      42.9942
     821      22.5617      42.1168
     822      22.7012      43.1692
     823      22.5600      42.9053
     824      22.6604      43.4732
     825      22.6573      43.2931
     826      22.7871      44.0870
     827      22.7942      43.6119
     828      22.7468      43.5768
     829      22.5883      43.2540
     830      22.5350      43.2702
     831      22.5215      42.6082
     832      22.6771      43.2592
     833      22.6274      43.6086
     834      22.6143      43.8515
     835      22.6873      43.5961
     836      22.3355      42.4888
     837      22.4020      42.7700
     838      22.5138      43.6063
     839      22.5360      42.7370
     840      22.6416      42.8860
     841      22.4928      42.9400
     842      22.5382      42.3233
     843      22.6143      42.6596
     844      22.7093      43.1979
     845      22.6071      43.8303
     846      22.6339      42.6642
     847      22.7487      41.8078
     848      22.8646      42.1754
     849      22.7368      41.1101
     850      22.7895      42.1425
     851      22.7887      42.5659
     852      22.9049      42.5867
     853      22.9902      42.8851
     854      22.9872      42.1346
     855      22.8514      42.3675
     856      22.9326      42.3710
     857      22.9979      41.5317
     858      22.9211      42.5605
     859      22.8733      42.0707
     860      22.8867      42.8654
     861      22.8445      41.6956
     862      22.8751      42.1742
     863      22.8145      42.0510
     864      22.8323      42.7782
     865      22.8525      42.4756
     866      22.9684      42.7584
     867      23.0657      42.8886
     868      23.2628      30.5657
     869      23.1036      44.2197
     870      23.0574      43.6602
     871      23.1273      44.2920
     872      23.0864      44.0056
     873      23.0920      44.5429
     874      22.9124      43.7871
     875      22.9066      43.4912
     876      22.9543      44.0473
     877      23.0244      44.0879
     878      22.9726      44.1975
     879      22.7812      43.6263
     880      22.9794      43.8249
     881      23.0085      43.1255
     882      23.0281      43.5072
     883      23.0573      43.7469
     884      22.9270      43.9456
     885      23.1194      44.0771
     886      23.1603      44.5495
     887      23.1064      43.4479
     888      23.1596      44.1659
     889      23.2641      43.7098
     890      23.2751      44.5613
     891      23.0340      44.3157
     892      22.9842      43.9228
     893      22.8868      43.6372
     894      22.9253      43.6755
     895      22.7840      42.4893
     896      22.9171      43.9188
     897      23.0055      43.9563
     898      22.9998      44.5257
     899      22.9299      43.7201
     900      22.9452      43.7441
     901      22.9456      43.7090
     902      22.9376      43.6817
     903      23.0679      43.5016
     904      22.9202      42.7542
     905      22.8971      43.0240
     906      22.8164      42.6047
     907      22.8659      43.2270
     908      22.8001      42.4369
     909      22.7158      42.5830
     910      22.8934      42.9890
     911      22.9728      42.4252
     912      22.8981      42.6368
     913      22.9712      43.1433
     914      23.0848      43.9066
     915      23.2347      42.5270
     916      23.0422      42.0290
     917      23.0670      42.9678
     918      22.9960      42.5481
     919      22.9140      41.3473
     920      23.0579      41.8338
     921      23.1964      42.0899
     922      23.1379      41.9701
     923      23.1858      42.2799
     924      23.1734      41.7020
     925      23.0982      42.2536
     926      23.0200      41.5286
     927      23.1472      42.6587
     928      23.1538      43.0706
     929      23.1393      42.7158
     930      23.2277      42.6882
     931      23.1720      42.9286
     932      23.0440      41.2094
     933      22.9318      41.3462
     934      23.0205      42.5643
     935      23.0966      42.5923
     936      22.9882      41.9931
     937      23.0485      42.9225
     938      23.1037      42.4725
     939      22.9345      41.5030
     940      22.9030      42.1255
     941      22.7700      42.4552
     942      22.8234      42.7636
     943      22.7372      41.7058
     944      22.8789      42.0595
     945      22.9390      41.6427
     946      22.8818      41.5351
     947      22.8784      42.4894
     948      22.9234      41.5712
     949      23.0132      42.9988
     950      22.8159      42.2429
     951      22.9538      42.5498
     952      22.8886      42.8567
     953      22.9865      42.4566
     954      22.9593      42.5635
     955      22.9142      41.9934
     956      22.8824      42.3009
     957      22.8850      41.9173
     958      23.0348      42.3556
     959      23.1547      42.9385
     960      22.9550      42.0409
     961      23.0501      42.6434
     962      23.0129      41.7115
     963      23.1561      43.1955
     964      23.1890      42.5232
     965      22.9418      42.2701
     966      23.1865      42.9163
     967      23.1335      41.7185
     968      23.0167      42.7859
     969      23.0129      42.8150
     970      22.9260      42.8874
     971      22.8352      41.8036
     972      22.9069      42.0158
     973      22.7096      41.9571
     974      22.7603      42.5019
     975      22.7974      41.9682
     976      22.8313      42.4320
     977      22.8371      41.9321
     978      22.7308      41.8850
     979      22.6774      42.2371
     980      22.7151      42.4996
     981      22.5595      41.8881
     982      22.6486      42.7897
     983      22.7109      42.6130
     984      22.6054      42.2900
     985      22.6155      42.4545
     986      22.5255      41.5372
     987      22.2970      40.9155
     988      22.3621      40.8068
     989      22.2379      40.8561
     990      22.4058      41.4439
     991      22.2576      41.0614
     992      22.3431      40.4332
     993      22.2698      40.9380
     994      22.4359      41.7260
     995      22.5092      41.7990
     996      22.5924      41.9915
     997      22.6001      41.1779
     998      22.5814      41.4554
     999      22.7386      42.1615
    1000      22.7495      42.3747
    1001      22.7369      41.7392
    1002      22.6385      42.0001
    1003      22.6242      41.8474
    1004      22.6121      41.8137
    1005      22.5509      41.5076
    1006      22.4228      41.7264
    1007      22.6439      41.4358
    1008      22.4673      42.1381
    1009      22.4903      41.4566
    1010      22.4636      41.3378
    1011      22.3783      41.2922
    1012      22.3593      41.3268
    1013      22.4441      42.3590
    1014      22.4930      42.4117
    1015      22.5975      42.7496
    1016      22.5511      42.6350
    1017      22.5332      41.5317
    1018      22.6080      42.1332
    1019      22.4268      41.9844
    1020      22.4572      42.0166
    1021      22.3229      42.1044
    1022      22.3067      41.8439
    1023      22.3642      41.3574
    1024      22.3279      41.5999
    1025      22.3174      41.2858
    1026      22.2753      40.8651
    1027      22.3962      41.1631
    1028      22.3896      41.8850
    1029      22.2724      41.3893
    1030      22.1564      40.8834
    1031      22.1709      41.4495
    1032      22.2217      40.7039
    1033      22.4527      41.8439
    1034      22.2991      41.4926
    1035      22.4060      40.8876
    1036      22.3585      41.1232
    1037      22.3292      41.5748
    1038      22.3145      41.4543
    1039      22.4771      41.6336
    1040      22.5140      41.2952
    1041      22.3740      42.3814
    1042      22.3253      41.9887
    1043      22.4311      41.5203
    1044      22.2907      41.5998
    1045      22.1561      41.2975
    1046      22.3516      41.4433
    1047      22.4541      41.4472
    1048      22.4187      42.0586
    1049      22.2933      42.0917
    1050      22.2661      40.8346
    1051      22.1780      40.8563
    1052      22.2328      40.9766
    1053      22.4609      41.8243
    1054      22.2911      42.4321
    1055      22.2693      40.7114
    1056      22.4274      42.1437
    1057      22.4549      41.8781
    1058      22.5645      41.9878
    1059      22.3618      41.6044
    1060      22.4584      41.7302
    1061      22.3572      41.2645
    1062      22.3519      41.5029
    1063      22.2913      40.0509
    1064      22.3548      41.0240
    1065      22.4048      41.3142
    1066      22.4199      42.5590
    1067      22.4429      41.3092
