#Frame            All     All[Max]
     511      24.5239      35.8225
     512      24.6010      35.4720
     513      24.5766      35.4228
     514      24.4572      35.6716
     515      24.4792      35.1515
     516      24.4185      35.6707
     517      24.6090      36.0392
     518      24.5926      35.9334
     519      24.5977      36.0717
     520      24.7302      36.3667
     521      24.8150      36.5674
     522      24.7380      36.1027
     523      24.5389      34.9230
     524      24.6035      35.2605
     525      24.6944      35.3260
     526      24.3874      35.0720
     527      24.2945      34.1698
     528      24.5868      34.7230
     529      24.4377      34.9775
     530      24.6714      35.9223
     531      24.6669      35.9031
     532      24.6396      35.0819
     533      24.3806      35.2934
     534      24.4244      34.7470
     535      24.3860      35.1193
     536      24.3491      34.8147
     537      24.1838      34.2259
     538      24.1941      34.7056
     539      24.3004      34.5843
     540      24.2793      34.9641
     541      24.3431      34.6039
     542      24.3270      34.1480
     543      24.2503      34.3917
     544      24.4120      35.2940
     545      24.4332      35.0048
     546      24.5036      35.3229
     547      24.2521      34.4821
     548      24.1311      33.6796
     549      24.2061      33.7361
     550      24.1834      33.2781
     551      24.3996      33.9601
     552      24.5196      34.8366
     553      24.5715      35.4284
     554      24.4830      35.3487
     555      24.4510      35.6509
     556      24.4441      35.4960
     557      24.1187      34.5712
     558      24.3342      34.5545
     559      24.4222      34.8340
     560      24.4554      34.5975
     561      24.2065      33.8948
     562      24.2041      33.9219
     563      24.3070      33.7742
     564      24.4223      34.3672
     565      24.2788      34.0993
     566      24.3700      34.9223
     567      24.5743      34.9979
     568      24.5535      34.3045
     569      24.6311      34.7831
     570      24.5285      34.5957
     571      24.3183      34.1859
     572      24.2455      34.3874
     573      24.2195      34.4533
     574      24.2146      34.4980
     575      24.2354      34.7343
     576      24.4370      34.2513
     577      24.4194      34.5380
     578      24.4054      34.7709
     579      24.4683      34.9433
     580      24.5012      34.4195
     581      24.5375      33.8426
     582      24.3726      33.4326
     583      24.3421      33.7659
     584      24.1530      33.5348
     585      24.2478      34.0497
     586      24.1958      33.2556
     587      24.2051      33.4977
     588      24.2290      33.7778
     589      24.0778      33.3556
     590      24.1447      33.6358
     591      24.0891      33.6867
     592      24.2304      34.7511
     593      24.1295      34.5564
     594      24.0499      34.3230
     595      23.7904      33.5836
     596      23.7223      33.4317
     597      23.8105      33.6543
     598      23.7841      34.1044
     599      23.8624      34.0081
     600      23.9693      33.3935
     601      24.0194      34.1773
     602      24.0368      34.5218
     603      24.1776      33.7622
     604      24.1314      33.7130
     605      24.2346      33.9200
     606      24.1982      34.0767
     607      24.1705      33.6418
     608      24.1632      34.1377
     609      24.3304      34.2047
     610      24.1605      33.9306
     611      24.1547      34.0487
     612      24.1660      34.3636
     613      24.0135      34.4349
     614      24.1501      34.6660
     615      24.1300      34.6205
     616      24.1879      34.4880
     617      24.3081      34.2690
     618      24.3022      34.7153
     619      24.2183      34.6211
     620      24.2583      34.6629
     621      24.2640      34.4734
     622      24.4415      34.2400
     623      24.3128      34.5186
     624      24.1220      33.2324
     625      24.2194      33.8291
     626      24.1837      33.6978
     627      24.2906      33.9842
     628      24.2999      33.7841
     629      24.3434      34.5198
     630      24.5202      34.4142
     631      24.5121      34.2519
     632      24.5755      34.9630
     633      24.7309      35.3241
     634      24.7410      35.4465
     635      24.7616      35.6313
     636      24.7180      36.0650
     637      24.6457      35.9417
     638      24.6036      36.0007
     639      24.7282      35.6918
